time,java_heap,native_heap,code,stack,graphics,private_other,system,total
18:44:46,19.90,121.96,33.52,0.06,114.90,33.47,12.23,336.03
18:44:49,13.23,119.42,33.52,0.06,108.50,33.34,12.23,320.30
18:44:52,18.28,159.48,41.24,0.07,148.37,35.14,12.58,415.16
18:44:55,16.88,221.03,44.87,0.07,178.96,36.73,12.95,511.48
18:44:57,17.28,212.69,45.04,0.07,179.85,36.74,12.97,504.62
18:45:00,17.09,212.91,45.06,0.07,180.20,36.81,12.97,505.11
18:45:03,16.42,213.82,45.10,0.07,180.36,36.85,12.97,505.59
18:45:05,20.50,156.04,45.42,0.07,128.55,35.95,12.96,399.51
18:45:08,25.31,235.04,45.50,0.07,186.12,37.14,13.00,542.19
18:45:11,17.37,244.43,45.54,0.07,190.67,37.09,13.00,548.17
18:45:13,17.93,237.24,45.54,0.07,191.18,37.10,13.01,542.08
18:45:16,17.03,237.17,45.54,0.07,190.00,37.11,13.01,539.92
18:45:19,16.30,233.37,45.54,0.07,186.66,37.13,13.01,532.08
18:45:21,16.88,232.74,45.54,0.07,187.78,37.15,13.01,533.17
18:45:23,16.70,233.25,45.60,0.07,188.50,37.12,13.01,534.24
18:45:26,17.75,233.11,45.67,0.07,190.24,37.15,13.02,537.02
18:45:28,16.37,234.05,45.68,0.07,190.39,37.16,13.02,536.74
18:45:31,17.21,235.57,45.69,0.07,232.47,37.12,13.03,581.16
18:45:33,20.16,167.45,45.71,0.07,134.23,36.11,13.00,416.73
18:45:36,18.09,170.50,45.79,0.08,137.78,36.23,13.00,421.46
18:45:38,15.46,161.04,45.79,0.08,127.62,36.14,13.00,399.13
18:45:41,15.34,160.38,45.79,0.08,127.56,36.13,13.00,398.28
18:45:43,14.43,156.43,45.76,0.08,123.85,36.13,12.99,389.67
18:45:45,14.34,156.16,45.76,0.08,123.54,36.12,12.99,389.00
18:45:48,17.82,161.72,45.82,0.08,135.57,36.19,12.99,410.18
18:45:50,16.32,165.81,45.82,0.08,136.89,36.26,12.99,414.16
18:45:53,23.00,205.38,45.92,0.08,184.28,36.67,13.00,508.34
18:45:55,21.20,208.61,45.98,0.08,183.73,36.72,13.00,509.32
18:45:58,21.90,216.34,46.04,0.08,194.02,36.78,13.01,528.16
18:46:00,17.05,214.92,46.06,0.08,194.45,36.81,13.01,522.36
18:46:03,18.24,216.01,46.10,0.08,195.94,36.90,13.01,526.27
18:46:05,19.26,181.53,46.12,0.08,150.16,36.72,13.00,446.85
18:46:08,17.68,184.40,46.18,0.08,154.13,36.73,13.00,452.20
18:46:11,14.76,160.33,45.02,0.08,61.75,36.04,34.18,352.16
